loanAmnt,term,id
4000,3,2007
3500,3,7802
20000,3,3040
3000,3,6861
16000,3,2008
2500,3,6862
20000,3,5852
25000,5,3041
3500,3,3925
18000,3,6863
5000,3,7803
11375,5,3926
2000,3,3042
10000,3,5853
5000,3,3927
14400,3,6864
20000,3,5854
3225,3,4842
30000,3,3043
23800,3,5855
5000,3,4843
4000,3,3044
20000,5,5856
3500,3,4844
14000,3,6865
9175,3,4845
22000,5,3928
10000,3,2009
15000,3,7804
27000,5,1047
21550,5,5857
18000,3,6866
19900,5,3045
5600,3,4846
4500,3,1048
5000,3,3046
7125,3,3047
20000,3,1049
35000,5,3048
12500,3,4847
10000,3,7805
12000,3,5858
8000,3,1050
4000,3,3049
8000,3,6867
9250,3,4848
12000,3,2010
8000,3,1051
3600,3,6868
20000,3,3050
21025,3,5859
33600,3,4849
4800,3,7806
22400,3,3929
10000,3,5860
15500,3,3051
19675,5,1052
35000,5,3930
10000,3,6869
12000,3,2011
24000,3,5861
29900,3,6870
27500,3,5862
12000,5,6871
5500,3,5863
6025,3,2012
16000,3,5864
24000,5,2013
15000,3,6872
18000,3,1053
12000,5,6873
5000,3,3052
17475,3,2014
18000,5,1054
9100,3,5865
16000,3,1055
18000,3,2015
12000,5,3931
25000,3,5866
19750,5,3053
10000,3,6874
16800,5,7807
2000,3,2016
5225,3,3932
6000,3,3054
16000,3,2017
21000,3,1056
12000,3,4850
30000,5,7808
5825,3,3933
3025,3,4851
9000,3,2018
18000,3,7809
10000,3,4852
12600,3,7810
12000,3,3934
11300,3,2019
12800,3,1057
7200,3,4853
12000,5,6875
10500,5,2020
2400,3,3935
33775,3,1058
24000,5,4854
12000,3,7811
15000,3,1059
35000,3,2021
10000,3,3055
7000,3,6876
35000,3,3056
4825,3,6877
6000,3,3057
10500,3,5867
15000,5,3058
23300,5,6878
14025,5,2022
1600,3,6879
19000,5,7812
5000,3,3936
11000,5,3059
5600,3,6880
8000,3,3937
14400,5,2023
6000,3,3060
8000,3,3938
10400,5,7813
6000,3,2024
10000,3,7814
8000,3,3939
1925,3,6881
12000,5,1060
20000,3,2025
4350,3,5868
5500,3,2026
25000,5,6882
6000,3,7815
28000,3,1061
9950,3,6883
13600,3,5869
35000,5,4855
3100,3,3940
5850,3,7816
5400,3,3941
5000,3,4856
20000,3,7817
11550,3,3942
9000,3,5870
6400,3,4857
18900,5,7818
21000,5,7819
20000,3,4858
15200,5,3061
15000,3,5871
18900,3,4859
24000,3,7820
3125,3,4860
15000,3,2027
8000,3,5872
14700,3,2028
10000,3,6884
20000,5,5873
4500,3,6885
11200,3,5874
11900,5,3062
10000,3,2029
23275,3,1062
20000,3,5875
10000,3,1063
3000,3,6886
20000,3,6887
21000,3,2030
6000,3,3943
5000,3,3063
20000,3,2031
24000,5,6888
7500,3,4861
12000,3,1064
2000,3,4862
15000,3,7821
8000,3,2032
14000,5,3064
8875,3,3065
35000,5,6889
28200,5,3944
21350,5,3066
19200,3,4863
8000,3,3067
13200,5,6890
17600,3,7822
19200,3,6891
4000,3,4864
10000,5,5876
13600,3,6892
26850,3,5877
32000,5,7823
15000,3,4865
12000,3,6893
8000,3,2033
35000,3,3068
10650,5,2034
8000,3,3945
20000,3,1065
22000,3,7824
4500,3,2035
16000,3,7825
22000,3,3946
26550,5,7826
12000,3,1066
6000,3,4866
3000,3,1067
35000,3,6894
12000,5,7827
6900,3,3069
6000,3,5878
10500,3,1068
13500,3,5879
23000,5,3947
9250,3,1069
10800,3,5880
10000,3,1070
10000,3,3948
13500,3,6895
5000,3,4867
15000,3,7828
2500,3,3949
8000,3,1071
5550,5,6896
30000,5,4868
15000,3,5881
20950,5,7829
10000,3,3070
12000,5,7830
10650,3,6897
6000,3,4869
8000,3,7831
16000,3,3950
6000,3,6898
7200,3,2036
19000,5,3071
6400,3,6899
9100,3,2037
20000,3,6900
20000,3,2038
6000,3,4870
3900,3,6901
16900,3,5882
21000,5,6902
15000,3,5883
25000,5,4871
40000,5,7832
1000,3,6903
3000,3,2039
20700,5,3951
6400,3,4872
20000,3,5884
16000,5,5885
20000,5,4873
20000,3,5886
17500,5,4874
11200,3,2040
5700,3,4875
4625,3,5887
4000,3,3952
27650,3,6904
7050,3,5888
21000,3,2041
9600,3,3953
17000,5,7833
24000,3,6905
3000,3,3954
10000,3,2042
19750,5,7834
7275,3,6906
13000,3,5889
6000,3,7835
7000,3,4876
5000,3,6907
10000,3,5890
5800,3,2043
10000,3,7836
5000,3,4877
25000,3,5891
6000,3,7837
3425,3,2044
6500,3,7838
13000,3,5892
1000,3,6908
18000,5,2045
30000,3,3955
10000,3,4878
28000,3,7839
10200,3,2046
12800,5,3956
1500,3,2047
16000,3,7840
20000,5,4879
14000,3,7841
24250,5,3957
35000,3,4880
20000,3,3958
29575,5,2048
11325,3,6909
30000,5,7842
21000,3,6910
5000,3,7843
12500,5,2049
8000,3,7844
6000,3,3959
35000,3,7845
28000,3,3960
7625,3,7846
4500,3,3961
3500,3,5893
29400,3,2050
5500,3,4881
11500,3,3962
35000,3,6911
27575,5,3963
5075,3,7847
1600,3,5894
35000,3,3964
40000,5,7848
6000,3,4882
4000,3,6912
32000,5,7849
21000,5,2051
15000,5,7850
25000,3,5895
16700,5,2052
24000,3,7851
3600,3,4883
4000,3,6913
12000,5,3965
10000,3,7852
21000,3,4884
8000,3,7853
7750,3,6914
30000,5,3966
6000,5,7854
10000,3,4885
15000,3,3967
10075,3,2053
10000,3,6915
5000,3,3968
10000,5,5896
22000,3,2054
2000,3,5897
13000,3,3969
14400,3,4886
7500,3,3970
27500,5,6916
15100,3,7855
15000,3,2055
20000,3,6917
8375,3,3971
8000,3,7856
10325,3,3972
16000,3,7857
12000,3,4887
15000,5,2056
11000,3,7858
13000,3,6918
4800,3,2057
16000,3,3973
10000,3,4888
12000,3,3974
6800,3,2058
18000,5,4889
25000,3,6919
6400,3,2059
15000,3,5898
15000,3,6920
4000,3,5899
14000,5,2060
21875,3,7859
12000,3,5900
3300,3,6921
9000,3,7860
6000,3,6922
9000,3,7861
29025,3,2061
7000,3,7862
22800,3,3975
32000,5,4890
6500,3,3976
5000,3,7863
14400,3,3977
25000,5,4891
5000,3,6923
4800,3,4892
35000,5,7864
7200,5,4893
13300,5,6924
40000,3,4894
8200,3,7865
8000,3,2062
30000,3,6925
27000,3,2063
18000,5,6926
16000,3,7866
6000,3,3978
25000,3,7867
15000,5,3979
4000,3,6927
15000,5,3980
20000,3,7868
19625,3,4895
8000,3,7869
7000,3,6928
18000,3,7870
14400,5,3981
20000,5,7871
14000,3,5901
20000,5,3982
14000,5,3983
12000,3,5902
20000,3,7872
11700,3,4896
20000,3,7873
12375,3,3984
32000,3,2064
6000,3,2065
3600,3,5903
14000,3,4897
27000,3,3985
16000,3,6929
24000,5,3986
20000,5,6930
7500,3,3987
21700,5,5904
25000,3,4898
7975,3,6931
10000,3,5905
40000,3,6932
8000,3,5906
35000,5,4899
10000,3,6933
8000,3,2066
6000,3,4900
19800,5,3988
8000,3,6934
14700,3,7874
7200,3,5907
30000,3,7875
6700,3,6935
25675,5,3989
22000,5,4901
5200,3,5908
2000,3,2067
15000,3,7876
9000,3,5909
6500,3,6936
8000,3,5910
6000,3,4902
40000,3,7877
3000,3,2068
6000,3,6937
1600,3,2069
9600,3,6938
10000,3,7878
6400,3,6939
19000,5,7879
12000,3,3990
15000,3,7880
16000,3,3991
6400,3,7881
8400,3,3992
3500,3,7882
8000,3,5911
9200,3,3993
28275,3,5912
16375,5,5913
24000,5,7883
10000,5,6940
28000,5,5914
20000,5,5915
24000,3,4903
20000,3,3994
5000,5,6941
14000,3,2070
19000,3,7884
40000,5,4904
20000,3,2071
4000,3,4905
7000,3,7885
25000,3,4906
35000,5,6942
10050,3,7886
8000,3,4907
3200,3,3995
8950,3,6943
6400,3,7887
6000,3,3996
5000,3,7888
16800,3,4908
25000,5,6944
7000,3,5916
25000,3,5917
15000,3,5918
6800,3,5919
20000,5,5920
11100,3,6945
20000,5,5921
10200,3,5922
23000,3,6946
7200,3,4909
20000,3,6947
24000,5,5923
18000,3,4910
20000,3,6948
5000,3,3997
12000,3,6949
18625,3,7889
28000,5,5924
23825,3,3998
5000,3,6950
16500,3,4911
20000,5,5925
8000,3,6951
4800,3,4912
18825,3,6952
16000,3,3999
17000,3,4913
4925,3,4000
22900,3,7890
3000,3,6953
7825,3,4001
14800,5,5926
29400,3,4002
12000,5,7891
8000,3,4914
18000,5,5927
15000,5,6954
25975,5,4003
35000,3,6955
15225,3,4004
15000,3,6956
10000,3,4915
22400,3,5928
16000,3,6957
4500,3,5929
1000,3,4005
9000,3,6958
6000,3,5930
4625,3,4916
28000,3,6959
5000,3,5931
15000,3,4006
20675,5,6960
20000,3,5932
4000,3,6961
7000,3,5933
4200,3,6962
10000,3,5934
24000,5,4917
3000,3,4007
6600,3,6963
35000,5,7892
18250,3,5935
5675,3,6964
12000,3,7893
22000,5,4918
11000,5,7894
5425,3,4008
2100,3,6965
25000,3,4919
16000,3,7895
10400,3,4920
5025,3,6966
17000,3,5936
35000,3,4921
14000,5,7896
6000,3,5937
7200,3,6967
11025,3,4009
11200,3,7897
11000,3,4922
6325,3,7898
26000,3,4010
10000,3,5938
10000,3,4011
6725,3,6968
15000,5,4012
5000,3,5939
10000,3,6969
4500,3,5940
8000,3,4013
15000,3,6970
1000,3,4014
14000,5,6971
6675,3,4015
16000,3,6972
10800,3,4923
6400,3,4016
20000,5,6973
35000,3,4924
35000,5,6974
35000,5,4925
20875,5,4926
8000,3,6975
29975,5,4927
4000,5,6976
4000,3,5941
20000,3,4928
25925,3,5942
15000,3,6977
14000,5,4929
30000,3,7899
13775,5,5943
24000,5,6978
30000,3,4017
10000,3,6979
35000,5,5944
20000,3,7900
8500,3,4930
20200,3,5945
19200,3,4018
30000,5,5946
16000,3,6980
5000,3,7901
15000,5,4931
14000,5,4019
8750,3,6981
16000,3,7902
22000,5,5947
28000,5,6982
25200,5,5948
6000,3,4932
24600,5,6983
9500,3,4933
22500,5,4020
16000,5,7903
25000,3,4021
5000,3,4934
9600,3,4022
3000,3,4935
5000,3,6984
20000,3,4936
12000,5,7904
8000,3,6985
11200,3,4937
5000,3,5949
17475,5,4023
15000,3,4938
13000,5,5950
18000,3,4939
3600,3,5951
16000,3,7905
6400,3,5952
25500,5,4940
6000,3,5953
35000,3,6986
6000,3,4024
12000,5,6987
3600,3,7906
15000,5,4025
26675,3,7907
13975,3,4026
18000,3,7908
27425,5,4027
10000,3,7909
16000,3,6988
12000,3,7910
33000,5,4028
23200,3,4941
11250,5,4029
40000,5,4942
25000,5,4030
9400,3,4031
18000,5,4943
2050,3,7911
16000,3,4944
12250,3,5954
1000,3,4945
25600,3,7912
5000,3,4946
5000,3,7913
14000,3,6989
24000,3,7914
11000,3,6990
35000,3,7915
6600,3,6991
10000,3,5955
6000,3,7916
18000,5,6992
21000,3,7917
5000,3,4947
14000,3,4032
10000,5,5956
18000,3,6993
12000,3,4948
20800,3,5957
17000,3,4033
18000,3,5958
12000,3,4034
15800,3,6994
28000,5,4949
24000,3,6995
20000,3,5959
18700,5,4950
25200,5,4035
30000,3,7918
12000,3,5960
27600,3,6996
13150,5,6997
7500,3,6998
35000,5,5961
35000,5,6999
24000,5,4951
24000,5,7000
15000,3,4036
20000,3,7001
10000,5,4952
10000,3,5962
34550,3,4953
10000,3,5963
4200,3,4954
18000,3,7002
6025,3,5964
7000,3,7003
7200,3,5965
35000,3,4955
10000,3,4037
5000,3,4956
7200,3,5966
7100,3,7004
9000,3,4038
6000,3,5967
2000,3,4957
12200,5,5968
9600,3,4958
20000,3,4039
14000,3,5969
24000,3,4959
12000,5,5970
9500,3,7005
14000,3,4040
13200,3,7006
22000,5,4041
10000,5,7007
4000,3,5971
3600,3,4042
9600,3,7008
8000,3,5972
10000,3,4960
15000,3,7009
6000,3,4043
35000,5,7919
8400,3,4961
30000,5,7010
6000,3,7920
6000,3,4962
6000,3,5973
17700,5,7011
3000,3,4963
35000,3,4044
14000,3,5974
18000,3,4045
21000,5,7921
9600,3,4046
10000,3,7922
14000,3,4047
24000,5,7923
10575,3,5975
12000,5,4964
10000,3,5976
9350,3,7012
17600,5,4048
2500,3,5977
10575,3,7924
5000,3,4049
8000,3,7925
16800,3,4965
7525,3,4050
35000,3,4966
12000,5,4051
33000,3,5978
2200,3,7013
28000,5,4967
12000,5,5979
20000,3,7926
15000,3,4968
2000,3,7014
15000,3,4969
7200,3,5980
10000,3,7927
6050,3,5981
14400,5,4052
24000,5,4970
8500,3,4053
6500,3,7015
2400,3,4054
10000,5,4971
7500,3,7016
5600,3,5982
12000,5,4972
6000,3,7017
5600,3,7928
20800,5,7018
5000,3,4973
15000,3,7929
35000,3,4055
9600,3,4974
5000,3,7930
20000,3,4975
12400,3,7931
10000,3,7019
29400,3,4976
15000,3,5983
24000,5,7932
6000,3,4056
20000,5,4977
7500,3,7020
13200,3,7933
9600,3,5984
3600,3,4978
20000,5,4057
24000,3,4979
4000,3,7021
9600,3,4058
25000,3,7022
23000,3,4980
10000,3,4059
5000,3,5985
14000,3,7934
10500,3,4981
16950,5,5986
12000,3,7023
3000,3,4982
35000,3,7024
5000,3,7935
14500,3,4060
5600,3,7025
12000,3,4983
13000,5,5987
12075,5,4061
24000,3,7936
10000,3,5988
10000,3,4984
8000,3,7026
13150,5,4062
16000,5,7937
10500,3,7027
4000,3,7938
12000,5,5989
2000,3,7028
25725,3,5990
10000,3,4985
3000,3,5991
17600,3,7029
5000,3,5992
8000,3,4063
10000,3,7939
35000,5,4064
8000,3,7030
10000,5,4065
3000,3,5993
20150,5,4066
18000,5,5994
18000,3,4067
40000,3,7031
28000,5,4986
8000,3,5995
16700,5,4068
12000,5,4987
11500,3,7032
5000,3,5996
9600,3,4069
16000,5,7033
17050,5,4988
6000,3,7940
2400,3,4989
6400,3,7034
5000,3,7941
2000,3,5997
10300,3,7942
5150,3,4990
27000,3,7943
15000,3,5998
10000,3,4991
22800,5,4070
18000,3,7035
10000,3,7944
20000,5,7036
10050,3,4071
9000,3,5999
8875,3,6000
13450,3,4992
3000,3,7037
12275,3,7945
6550,3,7038
6125,3,4993
23900,5,7946
6000,3,7039
17600,3,7947
6000,3,6001
25000,3,4994
24800,5,6002
12000,5,7040
35000,5,7948
3500,3,4995
10000,3,7949
8000,3,4996
7975,3,6003
8000,3,7950
7500,3,4997
30000,5,7041
20000,3,4998
5500,3,7951
20000,3,4999
12000,3,6004
4500,3,7042
14975,5,7952
20800,5,7043
5000,3,5000
15000,3,7044
16800,5,5001
10000,3,7953
18000,5,6005
15000,3,7045
30000,5,5002
25000,5,5003
10000,5,7954
3000,3,6006
16000,3,5004
18500,5,7046
24000,3,6007
9000,3,7047
5000,3,6008
10000,3,7955
2000,3,7048
24000,5,6009
10000,3,7049
3600,3,6010
19475,5,7050
8000,3,6011
4350,3,5005
16150,5,7051
24000,5,7956
35000,3,7052
4000,3,7957
11400,5,7053
11975,3,7958
6000,3,7054
4275,3,7959
5725,3,7055
10000,3,5006
25000,3,7960
20000,5,5007
17975,3,7961
5000,3,7056
3000,3,5008
20000,3,7057
24000,5,7058
30000,5,5009
6250,3,7059
28000,5,5010
14725,3,7962
7000,3,7060
10000,3,6012
24000,3,5011
3900,3,6013
10000,3,7963
4600,3,5012
19500,3,7964
19375,3,7061
7000,3,5013
5600,3,6014
17000,5,7965
32200,5,7062
24000,3,7966
7000,3,7063
15925,5,7967
3000,3,7064
20000,3,7968
15000,5,6015
2875,3,5014
11000,3,7969
24000,5,6016
7000,3,7970
24250,3,5015
10000,3,7065
8000,3,6017
16500,5,7971
10000,5,6018
11000,3,7972
8000,3,7066
15000,3,7973
12000,3,5016
7000,3,7974
9800,3,5017
20000,3,7067
3500,3,5018
7000,3,7068
15000,5,5019
13075,3,6019
16000,3,7975
9000,3,6020
12375,3,5020
35000,3,7069
25850,5,6021
6000,3,5021
32000,5,7070
8000,3,7976
16000,3,5022
2000,3,7977
18475,3,7071
8000,3,7978
24000,5,5023
9000,3,6022
25000,5,7979
6075,3,6023
33500,5,5024
20000,3,6024
1800,3,5025
25000,3,7980
30000,5,6025
21000,5,5026
15000,3,7981
29000,5,5027
18000,5,6026
7000,3,7982
12000,3,5028
19975,3,6027
15000,5,5029
2500,3,7983
35000,3,5030
35000,5,6028
10000,3,7984
3000,3,5031
25000,5,7985
6900,3,6029
17000,5,5032
18000,3,6030
7000,3,7986
18000,3,5033
6000,3,7987
24000,5,5034
8100,3,7988
35000,3,6031
12000,3,7989
20000,3,5035
9025,3,7990
24000,3,6032
12000,5,7991
27375,3,5036
16000,3,6033
12225,5,7992
12000,5,5037
24000,5,6034
4200,3,6035
12000,3,7993
10000,3,5038
11125,5,6036
14000,3,7994
22475,5,5039
12000,3,6037
12000,3,7995
24000,5,5040
1800,3,6038
10000,5,5041
12000,5,7996
9600,3,5042
16000,5,6039
8000,3,7997
6000,3,6040
12000,3,5043
10000,3,7998
2000,3,6041
8000,3,5044
10000,5,6042
21000,5,7999
12000,3,6043
7800,3,5045
12000,5,6044
18900,5,5046
5000,3,8000
15000,3,6045
14400,5,5047
11950,3,6046
12000,3,6047
17000,3,5048
2600,3,6048
35000,3,8001
5000,3,6049
18000,3,8002
10000,3,6050
3250,3,5049
21500,5,8003
10750,3,6051
32000,5,5050
5000,3,6052
4000,3,5051
8300,3,6053
15000,3,8004
22625,5,5052
6000,3,6054
11975,5,5053
2800,3,8005
26475,5,6055
11575,3,8006
10000,3,6056
16800,5,5054
20000,3,6057
7700,3,5055
10000,3,8007
15600,5,6058
12000,5,5056
12000,5,6059
31000,5,6060
12000,5,5057
1100,3,6061
12000,3,8008
11200,3,5058
30000,3,8009
9000,3,6062
2100,3,5059
15000,3,6063
24000,5,8010
8400,3,6064
15000,3,8011
5000,3,5060
10000,3,8012
8800,3,6065
25600,3,8013
20700,3,5061
4000,3,6066
35000,5,5062
25000,3,6067
11325,3,5063
16950,3,6068
20000,5,5064
4000,3,6069
7200,3,5065
5000,3,6070
1500,3,5066
24000,3,6071
10000,5,8014
24000,3,5067
27950,3,5068
6000,3,8015
12000,3,5069
30350,5,8016
5000,3,5070
5000,3,8017
9000,3,5071
20000,3,8018
10000,3,8019
15000,3,8020
10000,3,8021
25000,5,8022
18675,5,8023
15000,3,8024
20000,5,8025
7000,3,8026
10000,3,8027
6500,3,8028
4200,3,8029
25000,5,8030
10000,3,8031
35000,5,8032
9875,3,8033
15000,3,8034
15000,3,8035
29725,3,8036
6000,3,8037
14400,5,8038
28000,3,8039
8000,3,8040
16000,3,8041
9000,3,8042
12000,3,8043
2800,3,8044
2000,3,8045
10000,5,8046
20750,5,8047
8000,3,8048
10000,3,8049
8000,3,8050
30000,5,8051
21000,5,8052
11400,5,8053
10000,3,8054
40000,3,8055
15000,3,8056
25000,5,8057
20000,5,8058
4250,3,8059
6000,3,8060
20000,5,8061
11800,5,8062
15000,3,8063
15000,3,8064
5000,3,8065
12875,5,8066
7475,3,8067
24000,5,8068
6000,3,8069
4800,3,8070
24000,3,8071
4000,3,8072
9600,3,8073
5000,3,8074
13200,3,8075
9000,3,8076
15000,5,8077
12000,3,8078
13475,5,8079
14500,3,8080
6000,3,8081
35000,3,8082
5000,3,8083
13500,3,8084
5400,3,8085
20000,5,8086
10000,3,8087
16100,3,8088
9000,3,8089
9000,3,8090
25000,3,8091
20000,5,8092
7000,3,8093
9600,3,8094
13850,3,8095
7675,3,8096
35000,3,8097
16000,5,8098
5000,3,8099
17000,5,8100
5000,3,8101
14025,3,8102
9600,3,8103
12375,3,8104
36000,5,8105
9000,3,8106
11800,3,8107
40000,3,8108
15000,3,8109
3000,3,8110
15000,5,8111
32050,3,8112
15500,5,8113
16500,3,8114
10000,5,8115
11500,5,8116
10650,3,8117
6025,3,8118
12600,3,8119
15000,5,8120
22250,5,8121
21000,5,8122
8000,3,8123
25000,3,8124
7000,3,8125
20000,5,8126
21000,3,8127
15000,3,8128
10000,3,8129
7000,3,8130
5250,3,8131
10750,3,8132
15000,3,8133
4325,3,8134
10000,5,8135
12000,3,8136
35000,3,8137
16000,3,8138
15000,3,8139
5175,3,8140
17500,5,8141
9800,3,8142
2000,3,8143
25000,3,8144
12000,5,8145
16800,5,8146
30000,5,8147
28000,3,8148
3400,3,8149
12000,3,8150
8000,3,8151
15000,3,8152
40000,3,8153
5500,3,8154
11850,3,8155
13600,5,8156
2200,3,8157
3700,3,8158
15000,5,8159
13800,3,8160
6000,3,8161
13200,5,8162
18175,5,8163
16200,3,8164
7000,3,8165
10000,3,8166
28000,3,8167
21000,5,8168
10000,3,8169
15325,3,8170
10000,3,8171
10000,3,8172
20000,3,8173
9000,3,8174
6000,3,8175
20000,3,8176
12000,5,8177
12000,3,8178
12500,3,8179
15000,3,8180
9600,3,8181
11525,3,8182
17000,5,8183
12075,3,8184
5050,3,8185
18075,3,8186
18000,5,8187
15000,5,8188
15000,3,8189
2000,3,8190
32000,3,8191
15000,3,8192
20000,5,8193
15600,3,8194
11325,5,8195
15000,5,8196
21600,5,8197
6000,3,8198
17500,3,8199
22000,3,8200
10000,3,8201
6000,3,8202
4000,3,8203
18900,3,8204
15000,5,8205
20000,3,8206
12000,5,8207
15000,3,8208
39600,5,8209
5000,3,8210
25450,3,8211
5000,3,8212
7900,3,8213
12000,3,8214
10500,3,8215
20000,3,8216
5400,3,8217
17275,3,8218
3000,3,8219
35000,3,8220
8000,3,8221
15000,3,8222
9000,3,8223
4000,3,8224
16325,3,8225
21150,5,8226
12000,3,8227
10000,3,8228
28000,3,8229
9000,3,8230
30000,5,8231
15000,3,8232
5000,3,8233
15625,3,8234
2500,3,8235
12000,5,8236
28000,3,8237
15000,5,8238
10000,3,8239
14400,5,8240
18200,5,8241
10000,3,8242
24000,3,8243
12000,3,8244
18000,3,8245
2600,3,8246
15000,3,8247
13500,5,8248
11600,3,8249
25600,3,8250
4000,3,8251
28000,3,8252
11000,3,8253
14400,3,8254
6000,3,8255
6850,3,8256
16000,5,8257
15000,3,8258
5850,3,8259
16000,3,8260
5600,3,8261
8000,3,8262
7800,3,8263
6025,3,8264
9600,3,8265
12000,3,8266
25000,5,8267
13150,3,8268
15000,3,8269
33500,3,8270
10000,3,8271
32000,3,8272
24000,3,8273
12000,3,8274
8800,5,8275
5600,3,8276
5500,3,8277
8500,3,8278
10000,3,8279
8875,3,8280
8500,3,8281
25000,3,8282
8000,3,8283
22050,3,8284
15000,3,8285
10000,3,8286
10000,5,8287
25000,3,8288
1200,3,8289
20000,5,8290
6000,3,8291
20000,3,8292
35000,3,8293
8000,3,8294
8100,3,8295
10000,3,8296
8000,3,8297
8000,3,8298
16000,5,8299
10000,3,8300
20000,5,8301
25000,3,8302
9000,3,8303
14400,3,8304
10000,3,8305
12600,3,8306
30000,5,8307
4250,3,8308
5000,3,8309
8400,3,8310
9900,3,8311
35000,3,8312
6000,3,8313
1800,3,8314
5000,3,8315
25000,3,8316
8750,3,8317
30000,5,8318
12000,3,8319
6000,3,8320
19000,3,8321
3800,3,8322
21000,5,8323
20000,5,8324
25000,5,8325
28000,3,8326
5000,3,8327
10700,3,8328
11000,3,8329
10000,5,8330
40000,3,8331
10000,3,8332
10000,3,8333
28000,3,8334
25000,3,8335
9200,3,8336
28000,3,8337
24000,5,8338
14275,3,8339
10000,3,8340
20000,3,8341
16750,3,8342
15500,5,8343
9600,3,8344
8000,3,8345
15000,3,8346
20500,3,8347
17050,3,8348
5000,3,8349
24000,5,8350
3000,3,8351
19000,3,8352
21000,3,8353
21550,3,8354
12000,3,8355
10000,3,8356
18700,5,8357
10000,3,8358
17000,5,8359
8000,3,8360
5400,3,8361
21000,3,8362
8000,3,8363
14700,3,8364
2000,3,8365
21250,3,8366
8300,3,8367
16000,3,8368
10000,5,8369
16550,5,8370
20000,3,8371
21000,5,8372
4000,3,8373
30000,5,8374
10000,3,8375
12725,5,8376
16900,3,8377
6000,3,8378
9000,3,8379
15000,3,8380
35000,3,8381
10000,3,8382
5400,3,8383
20000,5,8384
21000,3,8385
6400,3,8386
30000,3,8387
31000,3,8388
11950,5,8389
9350,3,8390
3800,3,8391
10000,3,8392
10000,3,8393
3000,3,8394
8000,3,8395
28000,3,8396
10000,3,8397
27500,3,8398
16800,3,8399
4000,3,8400
21000,3,8401
7000,3,8402
18000,3,8403
2700,3,8404
6000,3,8405
20000,5,8406
6500,3,8407
15000,3,8408
40000,3,8409
7200,3,8410
17900,3,8411
10000,3,8412
